Beach,Date,Reading,Prediction,SwimStatus
Lane-Beach,06/21/2015,0.0,20.4,No Restrictions
Lane-Beach,06/22/2015,57.0,10.5,Swim Ban
Lane-Beach,06/23/2015,85.0,8.1,No Restrictions
Lane-Beach,06/24/2015,23.0,5.4,No Restrictions
Lane-Beach,06/25/2015,395.0,40.8,Swim Ban
Lane-Beach,06/26/2015,151.0,20.4,Swim Advisory
Lane-Beach,06/27/2015,0.0,22.1,Swim Ban
Lane-Beach,06/28/2015,0.0,9.7,No Restrictions
Lane-Beach,06/29/2015,15.0,15.9,No Restrictions
Lane-Beach,06/30/2015,41.0,11.0,No Restrictions
Lane-Beach,07/01/2015,124.0,29.3,No Restrictions
Lane-Beach,07/02/2015,106.0,30.2,Swim Ban
Lane-Beach,07/03/2015,0.0,20.1,No Restrictions
Lane-Beach,07/04/2015,0.0,11.8,No Restrictions
Lane-Beach,07/05/2015,0.0,13.3,No Restrictions
Lane-Beach,07/06/2015,3.0,16.5,Swim Advisory
Lane-Beach,07/07/2015,410.0,32.9,Swim Ban
Lane-Beach,07/08/2015,291.0,11.4,Swim Advisory
Lane-Beach,07/09/2015,314.0,17.8,Swim Advisory
Lane-Beach,07/10/2015,47.0,8.5,Swim Advisory
Lane-Beach,07/11/2015,0.0,11.6,No Restrictions
Lane-Beach,07/12/2015,0.0,18.3,No Restrictions
Lane-Beach,07/13/2015,274.0,19.4,No Restrictions
Lane-Beach,07/14/2015,62.0,11.0,Swim Advisory
Lane-Beach,07/15/2015,335.0,40.5,Swim Advisory
Lane-Beach,07/16/2015,53.0,27.4,Swim Advisory
Lane-Beach,07/17/2015,17.0,52.8,Swim Ban
Lane-Beach,07/18/2015,0.0,16.7,Swim Ban
Lane-Beach,07/19/2015,0.0,43.2,No Restrictions
Lane-Beach,07/20/2015,30.0,16.2,No Restrictions
Lane-Beach,07/21/2015,41.0,20.6,No Restrictions
Lane-Beach,07/22/2015,69.0,12.4,No Restrictions
Lane-Beach,07/23/2015,28.0,15.2,No Restrictions
Lane-Beach,07/24/2015,14.0,14.2,No Restrictions
Lane-Beach,07/25/2015,0.0,18.8,No Restrictions
Lane-Beach,07/26/2015,0.0,23.3,No Restrictions
Lane-Beach,07/27/2015,41.0,28.9,No Restrictions
Lane-Beach,07/28/2015,47.0,24.3,Swim Advisory
Lane-Beach,07/29/2015,37.0,25.3,No Restrictions
Lane-Beach,07/30/2015,39.0,25.3,No Restrictions
Lane-Beach,07/31/2015,15.0,11.3,No Restrictions
Lane-Beach,08/01/2015,0.0,10.4,No Restrictions
Lane-Beach,08/02/2015,0.0,17.9,Swim Ban
Lane-Beach,08/03/2015,118.0,44.7,No Restrictions
Lane-Beach,08/04/2015,11.0,12.2,No Restrictions
Lane-Beach,08/05/2015,34.0,18.2,No Restrictions
Lane-Beach,08/06/2015,65.0,43.3,No Restrictions
Lane-Beach,08/07/2015,8.0,19.7,No Restrictions
Lane-Beach,08/08/2015,0.0,22.0,No Restrictions
Lane-Beach,08/09/2015,0.0,40.7,No Restrictions
Lane-Beach,08/10/2015,196.0,36.4,Swim Ban
Lane-Beach,08/11/2015,848.0,46.9,No Restrictions
Lane-Beach,08/12/2015,52.0,35.7,No Restrictions
Lane-Beach,08/13/2015,14.0,30.0,No Restrictions
Lane-Beach,08/14/2015,85.0,26.9,No Restrictions
Lane-Beach,08/15/2015,0.0,47.7,No Restrictions
Lane-Beach,08/16/2015,0.0,42.1,No Restrictions
Lane-Beach,08/17/2015,39.0,34.8,Swim Ban
Lane-Beach,08/18/2015,327.0,123.2,No Restrictions
Lane-Beach,08/19/2015,50.0,82.0,No Restrictions
Lane-Beach,08/20/2015,65.0,43.3,No Restrictions
Lane-Beach,08/21/2015,39.0,30.5,No Restrictions
Lane-Beach,08/22/2015,0.0,32.5,No Restrictions
Lane-Beach,08/23/2015,0.0,35.7,No Restrictions
Lane-Beach,08/24/2015,47.0,41.0,No Restrictions
Lane-Beach,08/25/2015,387.0,29.1,No Restrictions
Lane-Beach,08/26/2015,89.0,44.2,No Restrictions
Lane-Beach,08/27/2015,72.0,54.0,No Restrictions
Lane-Beach,08/28/2015,24.0,50.4,No Restrictions
Lane-Beach,08/29/2015,0.0,140.4,Swim Ban
Lane-Beach,08/30/2015,0.0,83.3,No Restrictions
Lane-Beach,08/31/2015,730.0,71.6,No Restrictions
Lane-Beach,09/01/2015,4.0,48.7,No Restrictions
Lane-Beach,09/02/2015,2.0,46.0,No Restrictions
Lane-Beach,09/03/2015,2.0,34.4,No Restrictions
Lane-Beach,09/04/2015,631.0,55.9,No Restrictions
Lane-Beach,09/05/2015,188.0,84.4,No Restrictions
Lane-Beach,09/06/2015,0.0,37.4,No Restrictions
Lane-Beach,09/07/2015,0.0,33.6,No Restrictions
Montrose-Beach,05/22/2015,0.0,135.7,No Restrictions
Montrose-Beach,05/23/2015,10.0,50.3,No Restrictions
Montrose-Beach,05/24/2015,0.0,94.5,No Restrictions
Montrose-Beach,05/25/2015,0.0,227.2,No Restrictions
Montrose-Beach,05/26/2015,636.0,125.4,No Restrictions
Montrose-Beach,05/27/2015,261.0,86.4,Swim Advisory
Montrose-Beach,05/28/2015,51.0,42.0,Swim Advisory
Montrose-Beach,05/29/2015,1218.0,48.7,No Restrictions
Montrose-Beach,05/30/2015,100.0,224.1,Swim Advisory
Montrose-Beach,05/31/2015,199.0,537.5,Swim Advisory
Montrose-Beach,06/01/2015,199.0,114.4,Swim Advisory
Montrose-Beach,06/02/2015,98.0,52.7,No Restrictions
Montrose-Beach,06/03/2015,15.0,38.9,No Restrictions
Montrose-Beach,06/04/2015,18.0,67.9,No Restrictions
Montrose-Beach,06/05/2015,5.0,125.6,Swim Advisory
Montrose-Beach,06/06/2015,0.0,102.4,Swim Advisory
Montrose-Beach,06/07/2015,0.0,83.7,No Restrictions
Montrose-Beach,06/08/2015,60.0,131.2,Swim Ban
Montrose-Beach,06/09/2015,50.0,208.0,No Restrictions
Montrose-Beach,06/10/2015,41.0,39.7,No Restrictions
Montrose-Beach,06/11/2015,210.0,62.2,No Restrictions
Montrose-Beach,06/12/2015,152.0,161.5,Swim Advisory
Montrose-Beach,06/13/2015,0.0,108.8,Swim Ban
Montrose-Beach,06/14/2015,0.0,108.8,No Restrictions
Montrose-Beach,06/15/2015,48.0,71.9,Swim Ban
Montrose-Beach,06/16/2015,950.0,478.7,Swim Ban
Montrose-Beach,06/17/2015,99.0,129.7,Swim Advisory
Montrose-Beach,06/18/2015,80.0,134.0,No Restrictions
Montrose-Beach,06/19/2015,69.0,50.1,No Restrictions
Montrose-Beach,06/20/2015,0.0,84.4,No Restrictions
Montrose-Beach,06/21/2015,0.0,125.9,No Restrictions
Montrose-Beach,06/22/2015,43.0,43.2,No Restrictions
Montrose-Beach,06/23/2015,445.0,59.6,No Restrictions
Montrose-Beach,06/24/2015,187.0,68.7,Swim Advisory
Montrose-Beach,06/25/2015,2420.0,384.5,Swim Advisory
Montrose-Beach,06/26/2015,40.0,146.3,Swim Advisory
Montrose-Beach,06/27/2015,0.0,176.1,No Restrictions
Montrose-Beach,06/28/2015,0.0,47.9,No Restrictions
Montrose-Beach,06/29/2015,14.0,119.9,No Restrictions
Montrose-Beach,06/30/2015,137.0,63.6,Swim Ban
Montrose-Beach,07/01/2015,313.0,102.8,No Restrictions
Montrose-Beach,07/02/2015,60.0,64.2,Swim Advisory
Montrose-Beach,07/03/2015,0.0,73.6,No Restrictions
Montrose-Beach,07/04/2015,0.0,64.4,No Restrictions
Montrose-Beach,07/05/2015,0.0,59.2,No Restrictions
Montrose-Beach,07/06/2015,98.0,54.1,No Restrictions
Montrose-Beach,07/07/2015,2420.0,264.8,Swim Advisory
Montrose-Beach,07/08/2015,1540.0,102.6,Swim Advisory
Montrose-Beach,07/09/2015,251.0,99.7,Swim Advisory
Montrose-Beach,07/10/2015,157.0,86.8,Swim Advisory
Montrose-Beach,07/11/2015,0.0,48.5,No Restrictions
Montrose-Beach,07/12/2015,0.0,110.8,No Restrictions
Montrose-Beach,07/13/2015,2420.0,204.6,No Restrictions
Montrose-Beach,07/14/2015,687.0,58.9,Swim Advisory
Montrose-Beach,07/15/2015,1365.0,68.3,Swim Advisory
Montrose-Beach,07/16/2015,116.0,83.3,Swim Advisory
Montrose-Beach,07/17/2015,310.0,110.5,No Restrictions
Montrose-Beach,07/18/2015,621.0,53.1,Swim Ban
Montrose-Beach,07/19/2015,448.0,121.0,Swim Advisory
Montrose-Beach,07/20/2015,749.0,52.5,Swim Advisory
Montrose-Beach,07/21/2015,1012.0,71.6,Swim Advisory
Montrose-Beach,07/22/2015,690.0,72.8,Swim Advisory
Montrose-Beach,07/23/2015,66.0,60.8,Swim Advisory
Montrose-Beach,07/24/2015,53.0,56.3,No Restrictions
Montrose-Beach,07/25/2015,0.0,70.1,No Restrictions
Montrose-Beach,07/26/2015,0.0,55.2,No Restrictions
Montrose-Beach,07/27/2015,145.0,59.2,No Restrictions
Montrose-Beach,07/28/2015,169.0,62.0,No Restrictions
Montrose-Beach,07/29/2015,40.0,91.0,No Restrictions
Montrose-Beach,07/30/2015,65.0,91.0,No Restrictions
Montrose-Beach,07/31/2015,94.0,103.0,No Restrictions
Montrose-Beach,08/01/2015,0.0,62.1,No Restrictions
Montrose-Beach,08/02/2015,0.0,65.8,Swim Ban
Montrose-Beach,08/03/2015,596.0,222.3,No Restrictions
Montrose-Beach,08/04/2015,1177.0,63.5,Swim Advisory
Montrose-Beach,08/05/2015,180.0,67.0,Swim Advisory
Montrose-Beach,08/06/2015,178.0,95.1,No Restrictions
Montrose-Beach,08/07/2015,195.0,56.8,No Restrictions
Montrose-Beach,08/08/2015,0.0,57.2,No Restrictions
Montrose-Beach,08/09/2015,0.0,103.9,No Restrictions
Montrose-Beach,08/10/2015,425.0,108.3,Swim Ban
Montrose-Beach,08/11/2015,133.0,72.4,Swim Advisory
Montrose-Beach,08/12/2015,270.0,89.5,No Restrictions
Montrose-Beach,08/13/2015,43.0,61.6,Swim Advisory
Montrose-Beach,08/14/2015,378.0,79.2,No Restrictions
Montrose-Beach,08/15/2015,251.0,91.1,Swim Advisory
Montrose-Beach,08/16/2015,982.0,61.9,Swim Advisory
Montrose-Beach,08/17/2015,61.0,66.1,Swim Ban
Montrose-Beach,08/18/2015,1155.0,367.0,No Restrictions
Montrose-Beach,08/19/2015,406.0,227.7,Swim Advisory
Montrose-Beach,08/20/2015,115.0,87.8,Swim Advisory
Montrose-Beach,08/21/2015,305.0,76.8,No Restrictions
Montrose-Beach,08/22/2015,125.0,62.8,Swim Advisory
Montrose-Beach,08/23/2015,0.0,90.6,No Restrictions
Montrose-Beach,08/24/2015,32.0,101.1,No Restrictions
Montrose-Beach,08/25/2015,175.0,89.4,No Restrictions
Montrose-Beach,08/26/2015,58.0,125.5,No Restrictions
Montrose-Beach,08/27/2015,29.0,116.3,No Restrictions
Montrose-Beach,08/28/2015,36.0,78.5,No Restrictions
Montrose-Beach,08/29/2015,1087.0,381.4,Swim Ban
Montrose-Beach,08/30/2015,201.0,160.9,Swim Ban
Montrose-Beach,08/31/2015,7.0,83.7,No Restrictions
Montrose-Beach,09/01/2015,109.0,77.1,No Restrictions
Montrose-Beach,09/02/2015,142.0,78.9,No Restrictions
Montrose-Beach,09/03/2015,24.0,90.0,No Restrictions
Montrose-Beach,09/04/2015,104.0,105.7,No Restrictions
Montrose-Beach,09/05/2015,0.0,98.9,No Restrictions
