Client.ID,BEACH,Full_date,Escherichia.coli,Drek_Prediction,Weekday
5,Albion,2007-08-08,20.2842303280159,37.4,Wednesday
5,Albion,2007-08-09,49.19837395686975,37.4,Thursday
5,Albion,2007-08-10,31.360803561133444,37.4,Friday
5,Albion,2007-08-13,748.7468731153406,37.4,Monday
5,Albion,2007-08-14,2419.6,37.4,Tuesday
5,Albion,2007-08-15,14.135062787267696,37.4,Wednesday
5,Albion,2007-08-16,41.79952152836202,37.4,Thursday
5,Albion,2007-08-17,22.100452484055616,37.4,Friday
5,Albion,2007-08-20,354.95058811051433,37.4,Monday
5,Albion,2007-08-21,366.9157396460392,37.4,Tuesday
5,Albion,2007-08-22,36.84725227204872,37.4,Wednesday
5,Albion,2007-08-23,9.669539802906858,37.4,Thursday
5,Albion,2007-08-24,52.45798318654655,37.4,Friday
5,Albion,2007-08-25,473.64932175608567,37.4,Saturday
5,Albion,2007-08-26,62.75523882513714,37.4,Sunday
5,Albion,2007-08-27,212.73123889076564,37.4,Monday
5,Albion,2007-08-28,17.130674242422568,37.4,Tuesday
5,Albion,2007-08-29,55.333172690529864,37.4,Wednesday
5,Albion,2007-08-30,474.4317021447871,37.4,Thursday
5,Albion,2007-08-31,76.21968249737071,37.4,Friday
5,Albion,2008-05-27,129.173952482689,37.4,Tuesday
5,Albion,2008-05-28,45.092904098095076,37.4,Wednesday
5,Albion,2008-05-29,15.231546211727817,37.4,Thursday
5,Albion,2008-05-30,18.698930450696906,37.4,Friday
5,Albion,2008-06-02,2.932575659723036,37.4,Monday
5,Albion,2008-06-03,97.26571852405142,37.4,Tuesday
5,Albion,2008-06-04,92.9233017062997,37.4,Wednesday
5,Albion,2008-06-05,20.921520021260402,37.4,Thursday
5,Albion,2008-06-06,29.147898723578688,37.4,Friday
5,Albion,2008-06-09,13.19090595827292,37.4,Monday
5,Albion,2008-06-10,1.414213562373095,37.4,Tuesday
5,Albion,2008-06-11,2.4899799195977463,37.4,Wednesday
5,Albion,2008-06-12,65.07380425332454,37.4,Thursday
5,Albion,2008-06-13,17.215690517664402,37.4,Friday
5,Albion,2008-06-16,1.0,37.4,Monday
5,Albion,2008-06-17,6.704476116744694,37.4,Tuesday
5,Albion,2008-06-18,2.4899799195977463,37.4,Wednesday
5,Albion,2008-06-19,20.75861267040743,37.4,Thursday
5,Albion,2008-06-20,2.551470164434615,37.4,Friday
5,Albion,2008-06-23,38.13069629576675,37.4,Monday
5,Albion,2008-06-24,30.34056690307549,37.4,Tuesday
5,Albion,2008-06-25,2.0,37.4,Wednesday
5,Albion,2008-06-26,2.4899799195977463,37.4,Thursday
5,Albion,2008-06-27,2.0,37.4,Friday
5,Albion,2008-06-30,154.9599948373773,37.4,Monday
