Date,beach,Beach_Name
7/10/2016,Oak Street,Oak Street
7/11/2016,Oak Street,Oak Street
7/12/2016,Oak Street,Oak Street
7/13/2016,Oak Street,Oak Street
7/14/2016,Oak Street,Oak Street
7/15/2016,Oak Street,Oak Street
7/16/2016,Oak Street,Oak Street
7/17/2016,Oak Street,Oak Street
7/18/2016,Oak Street,Oak Street
7/19/2016,Oak Street,Oak Street
7/20/2016,Oak Street,Oak Street
7/21/2016,Oak Street,Oak Street
7/22/2016,Oak Street,Oak Street
7/23/2016,Oak Street,Oak Street
7/24/2016,Oak Street,Oak Street
7/25/2016,Oak Street,Oak Street
7/26/2016,Oak Street,Oak Street
7/27/2016,Oak Street,Oak Street
7/28/2016,Oak Street,Oak Street
7/29/2016,Oak Street,Oak Street
7/30/2016,Oak Street,Oak Street
7/31/2016,Oak Street,Oak Street
8/1/2016,Oak Street,Oak Street
8/2/2016,Oak Street,Oak Street
8/3/2016,Oak Street,Oak Street
8/4/2016,Oak Street,Oak Street
8/5/2016,Oak Street,Oak Street
8/6/2016,Oak Street,Oak Street
8/7/2016,Oak Street,Oak Street
8/8/2016,Oak Street,Oak Street
8/9/2016,Oak Street,Oak Street
8/10/2016,Oak Street,Oak Street
8/11/2016,Oak Street,Oak Street
8/12/2016,Oak Street,Oak Street
8/13/2016,Oak Street,Oak Street
8/14/2016,Oak Street,Oak Street
8/15/2016,Oak Street,Oak Street
8/16/2016,Oak Street,Oak Street
8/17/2016,Oak Street,Oak Street
8/18/2016,Oak Street,Oak Street
8/19/2016,Oak Street,Oak Street
8/20/2016,Oak Street,Oak Street
8/21/2016,Oak Street,Oak Street
8/22/2016,Oak Street,Oak Street
8/23/2016,Oak Street,Oak Street
8/24/2016,Oak Street,Oak Street
8/25/2016,Oak Street,Oak Street
8/26/2016,Oak Street,Oak Street
8/27/2016,Oak Street,Oak Street
8/28/2016,Oak Street,Oak Street
8/29/2016,Oak Street,Oak Street
8/30/2016,Oak Street,Oak Street
8/31/2016,Oak Street,Oak Street
9/1/2016,Oak Street,Oak Street
9/2/2016,Oak Street,Oak Street
9/3/2016,Oak Street,Oak Street
9/4/2016,Oak Street,Oak Street
9/5/2016,Oak Street,Oak Street
9/6/2016,Oak Street,Oak Street
9/7/2016,Oak Street,Oak Street
9/8/2016,Oak Street,Oak Street
9/9/2016,Oak Street,Oak Street
9/10/2016,Oak Street,Oak Street
9/11/2016,Oak Street,Oak Street
9/12/2016,Oak Street,Oak Street
9/13/2016,Oak Street,Oak Street
9/14/2016,Oak Street,Oak Street
9/15/2016,Oak Street,Oak Street
9/16/2016,Oak Street,Oak Street
9/17/2016,Oak Street,Oak Street
9/18/2016,Oak Street,Oak Street
9/19/2016,Oak Street,Oak Street
9/20/2016,Oak Street,Oak Street
9/21/2016,Oak Street,Oak Street
9/22/2016,Oak Street,Oak Street
9/23/2016,Oak Street,Oak Street
9/24/2016,Oak Street,Oak Street
9/25/2016,Oak Street,Oak Street
9/26/2016,Oak Street,Oak Street
9/27/2016,Oak Street,Oak Street
9/28/2016,Oak Street,Oak Street
9/29/2016,Oak Street,Oak Street
9/30/2016,Oak Street,Oak Street
5/1/2016,Oakwood,39th
5/2/2016,Oakwood,39th
5/3/2016,Oakwood,39th
5/4/2016,Oakwood,39th
5/5/2016,Oakwood,39th
5/6/2016,Oakwood,39th
5/7/2016,Oakwood,39th
5/8/2016,Oakwood,39th
5/9/2016,Oakwood,39th
5/10/2016,Oakwood,39th
5/11/2016,Oakwood,39th
5/12/2016,Oakwood,39th
5/13/2016,Oakwood,39th
5/14/2016,Oakwood,39th
5/15/2016,Oakwood,39th
5/16/2016,Oakwood,39th
5/17/2016,Oakwood,39th
5/18/2016,Oakwood,39th
5/19/2016,Oakwood,39th
5/20/2016,Oakwood,39th
5/21/2016,Oakwood,39th
5/22/2016,Oakwood,39th
5/23/2016,Oakwood,39th
5/24/2016,Oakwood,39th
5/25/2016,Oakwood,39th
5/26/2016,Oakwood,39th
5/27/2016,Oakwood,39th
5/28/2016,Oakwood,39th
5/29/2016,Oakwood,39th
5/30/2016,Oakwood,39th
5/31/2016,Oakwood,39th
6/1/2016,Oakwood,39th
6/2/2016,Oakwood,39th
6/3/2016,Oakwood,39th
6/4/2016,Oakwood,39th
6/5/2016,Oakwood,39th
6/6/2016,Oakwood,39th
6/7/2016,Oakwood,39th
6/8/2016,Oakwood,39th
6/9/2016,Oakwood,39th
6/10/2016,Oakwood,39th
6/11/2016,Oakwood,39th
6/12/2016,Oakwood,39th
6/13/2016,Oakwood,39th
6/14/2016,Oakwood,39th
6/15/2016,Oakwood,39th
6/16/2016,Oakwood,39th
6/17/2016,Oakwood,39th
6/18/2016,Oakwood,39th
6/19/2016,Oakwood,39th
6/20/2016,Oakwood,39th
6/21/2016,Oakwood,39th
6/22/2016,Oakwood,39th
6/23/2016,Oakwood,39th
6/24/2016,Oakwood,39th
6/25/2016,Oakwood,39th
6/26/2016,Oakwood,39th
6/27/2016,Oakwood,39th
6/28/2016,Oakwood,39th
6/29/2016,Oakwood,39th
6/30/2016,Oakwood,39th
7/1/2016,Oakwood,39th
7/2/2016,Oakwood,39th
7/3/2016,Oakwood,39th
7/4/2016,Oakwood,39th
7/5/2016,Oakwood,39th
7/6/2016,Oakwood,39th
7/7/2016,Oakwood,39th
7/8/2016,Oakwood,39th
7/9/2016,Oakwood,39th
7/10/2016,Oakwood,39th
7/11/2016,Oakwood,39th
7/12/2016,Oakwood,39th
7/13/2016,Oakwood,39th
7/14/2016,Oakwood,39th
7/15/2016,Oakwood,39th
7/16/2016,Oakwood,39th
7/17/2016,Oakwood,39th
7/18/2016,Oakwood,39th
7/19/2016,Oakwood,39th
7/20/2016,Oakwood,39th
7/21/2016,Oakwood,39th
7/22/2016,Oakwood,39th
7/23/2016,Oakwood,39th
7/24/2016,Oakwood,39th
7/25/2016,Oakwood,39th
7/26/2016,Oakwood,39th
7/27/2016,Oakwood,39th
7/28/2016,Oakwood,39th
7/29/2016,Oakwood,39th
7/30/2016,Oakwood,39th
7/31/2016,Oakwood,39th
8/1/2016,Oakwood,39th
8/2/2016,Oakwood,39th
8/3/2016,Oakwood,39th
8/4/2016,Oakwood,39th
8/5/2016,Oakwood,39th
8/6/2016,Oakwood,39th
8/7/2016,Oakwood,39th
8/8/2016,Oakwood,39th
8/9/2016,Oakwood,39th
8/10/2016,Oakwood,39th
8/11/2016,Oakwood,39th
8/12/2016,Oakwood,39th
8/13/2016,Oakwood,39th
8/14/2016,Oakwood,39th
8/15/2016,Oakwood,39th
8/16/2016,Oakwood,39th
8/17/2016,Oakwood,39th
8/18/2016,Oakwood,39th
8/19/2016,Oakwood,39th
8/20/2016,Oakwood,39th
8/21/2016,Oakwood,39th
8/22/2016,Oakwood,39th
8/23/2016,Oakwood,39th
8/24/2016,Oakwood,39th
8/25/2016,Oakwood,39th
8/26/2016,Oakwood,39th
8/27/2016,Oakwood,39th
8/28/2016,Oakwood,39th
8/29/2016,Oakwood,39th
8/30/2016,Oakwood,39th
8/31/2016,Oakwood,39th
9/1/2016,Oakwood,39th
9/2/2016,Oakwood,39th
9/3/2016,Oakwood,39th
9/4/2016,Oakwood,39th
9/5/2016,Oakwood,39th
9/6/2016,Oakwood,39th
9/7/2016,Oakwood,39th
9/8/2016,Oakwood,39th
9/9/2016,Oakwood,39th
9/10/2016,Oakwood,39th
9/11/2016,Oakwood,39th
9/12/2016,Oakwood,39th
9/13/2016,Oakwood,39th
9/14/2016,Oakwood,39th
9/15/2016,Oakwood,39th
9/16/2016,Oakwood,39th
9/17/2016,Oakwood,39th
9/18/2016,Oakwood,39th
9/19/2016,Oakwood,39th
9/20/2016,Oakwood,39th
9/21/2016,Oakwood,39th
9/22/2016,Oakwood,39th
9/23/2016,Oakwood,39th
9/24/2016,Oakwood,39th
9/25/2016,Oakwood,39th
9/26/2016,Oakwood,39th
9/27/2016,Oakwood,39th
9/28/2016,Oakwood,39th
9/29/2016,Oakwood,39th
9/30/2016,Oakwood,39th
5/1/2016,Ohio Street,Ohio
5/2/2016,Ohio Street,Ohio
5/3/2016,Ohio Street,Ohio
5/4/2016,Ohio Street,Ohio
5/5/2016,Ohio Street,Ohio
5/6/2016,Ohio Street,Ohio
5/7/2016,Ohio Street,Ohio
5/8/2016,Ohio Street,Ohio
5/9/2016,Ohio Street,Ohio
5/10/2016,Ohio Street,Ohio
5/11/2016,Ohio Street,Ohio
5/12/2016,Ohio Street,Ohio
5/13/2016,Ohio Street,Ohio
5/14/2016,Ohio Street,Ohio
5/15/2016,Ohio Street,Ohio
5/16/2016,Ohio Street,Ohio
5/17/2016,Ohio Street,Ohio
5/18/2016,Ohio Street,Ohio
5/19/2016,Ohio Street,Ohio
5/20/2016,Ohio Street,Ohio
5/21/2016,Ohio Street,Ohio
5/22/2016,Ohio Street,Ohio
5/23/2016,Ohio Street,Ohio
5/24/2016,Ohio Street,Ohio
5/25/2016,Ohio Street,Ohio
5/26/2016,Ohio Street,Ohio
5/27/2016,Ohio Street,Ohio
5/28/2016,Ohio Street,Ohio
5/29/2016,Ohio Street,Ohio
5/30/2016,Ohio Street,Ohio
5/31/2016,Ohio Street,Ohio
6/1/2016,Ohio Street,Ohio
6/2/2016,Ohio Street,Ohio
6/3/2016,Ohio Street,Ohio
6/4/2016,Ohio Street,Ohio
6/5/2016,Ohio Street,Ohio
6/6/2016,Ohio Street,Ohio
6/7/2016,Ohio Street,Ohio
6/8/2016,Ohio Street,Ohio
6/9/2016,Ohio Street,Ohio
6/10/2016,Ohio Street,Ohio
6/11/2016,Ohio Street,Ohio
6/12/2016,Ohio Street,Ohio
6/13/2016,Ohio Street,Ohio
6/14/2016,Ohio Street,Ohio
6/15/2016,Ohio Street,Ohio
6/16/2016,Ohio Street,Ohio
6/17/2016,Ohio Street,Ohio
6/18/2016,Ohio Street,Ohio
6/19/2016,Ohio Street,Ohio
6/20/2016,Ohio Street,Ohio
6/21/2016,Ohio Street,Ohio
6/22/2016,Ohio Street,Ohio
6/23/2016,Ohio Street,Ohio
6/24/2016,Ohio Street,Ohio
6/25/2016,Ohio Street,Ohio
6/26/2016,Ohio Street,Ohio
6/27/2016,Ohio Street,Ohio
6/28/2016,Ohio Street,Ohio
6/29/2016,Ohio Street,Ohio
6/30/2016,Ohio Street,Ohio
7/1/2016,Ohio Street,Ohio
7/2/2016,Ohio Street,Ohio
7/3/2016,Ohio Street,Ohio
7/4/2016,Ohio Street,Ohio
7/5/2016,Ohio Street,Ohio
7/6/2016,Ohio Street,Ohio
7/7/2016,Ohio Street,Ohio
7/8/2016,Ohio Street,Ohio
7/9/2016,Ohio Street,Ohio
7/10/2016,Ohio Street,Ohio
7/11/2016,Ohio Street,Ohio
7/12/2016,Ohio Street,Ohio
7/13/2016,Ohio Street,Ohio
7/14/2016,Ohio Street,Ohio
7/15/2016,Ohio Street,Ohio
7/16/2016,Ohio Street,Ohio
7/17/2016,Ohio Street,Ohio
7/18/2016,Ohio Street,Ohio
7/19/2016,Ohio Street,Ohio
7/20/2016,Ohio Street,Ohio
7/21/2016,Ohio Street,Ohio
7/22/2016,Ohio Street,Ohio
7/23/2016,Ohio Street,Ohio
7/24/2016,Ohio Street,Ohio
7/25/2016,Ohio Street,Ohio
7/26/2016,Ohio Street,Ohio
7/27/2016,Ohio Street,Ohio
7/28/2016,Ohio Street,Ohio
7/29/2016,Ohio Street,Ohio
7/30/2016,Ohio Street,Ohio
7/31/2016,Ohio Street,Ohio
8/1/2016,Ohio Street,Ohio
8/2/2016,Ohio Street,Ohio
8/3/2016,Ohio Street,Ohio
8/4/2016,Ohio Street,Ohio
8/5/2016,Ohio Street,Ohio
8/6/2016,Ohio Street,Ohio
8/7/2016,Ohio Street,Ohio
8/8/2016,Ohio Street,Ohio
8/9/2016,Ohio Street,Ohio
8/10/2016,Ohio Street,Ohio
8/11/2016,Ohio Street,Ohio
8/12/2016,Ohio Street,Ohio
8/13/2016,Ohio Street,Ohio
8/14/2016,Ohio Street,Ohio
8/15/2016,Ohio Street,Ohio
8/16/2016,Ohio Street,Ohio
8/17/2016,Ohio Street,Ohio
8/18/2016,Ohio Street,Ohio
8/19/2016,Ohio Street,Ohio
8/20/2016,Ohio Street,Ohio
8/21/2016,Ohio Street,Ohio
8/22/2016,Ohio Street,Ohio
8/23/2016,Ohio Street,Ohio
8/24/2016,Ohio Street,Ohio
8/25/2016,Ohio Street,Ohio
8/26/2016,Ohio Street,Ohio
8/27/2016,Ohio Street,Ohio
8/28/2016,Ohio Street,Ohio
8/29/2016,Ohio Street,Ohio
8/30/2016,Ohio Street,Ohio
8/31/2016,Ohio Street,Ohio
9/1/2016,Ohio Street,Ohio
9/2/2016,Ohio Street,Ohio
9/3/2016,Ohio Street,Ohio
9/4/2016,Ohio Street,Ohio
9/5/2016,Ohio Street,Ohio
9/6/2016,Ohio Street,Ohio
9/7/2016,Ohio Street,Ohio
9/8/2016,Ohio Street,Ohio
9/9/2016,Ohio Street,Ohio
9/10/2016,Ohio Street,Ohio
9/11/2016,Ohio Street,Ohio
9/12/2016,Ohio Street,Ohio
9/13/2016,Ohio Street,Ohio
9/14/2016,Ohio Street,Ohio
9/15/2016,Ohio Street,Ohio
9/16/2016,Ohio Street,Ohio
9/17/2016,Ohio Street,Ohio
9/18/2016,Ohio Street,Ohio
9/19/2016,Ohio Street,Ohio
9/20/2016,Ohio Street,Ohio
9/21/2016,Ohio Street,Ohio
9/22/2016,Ohio Street,Ohio
9/23/2016,Ohio Street,Ohio
9/24/2016,Ohio Street,Ohio
9/25/2016,Ohio Street,Ohio
9/26/2016,Ohio Street,Ohio
9/27/2016,Ohio Street,Ohio
9/28/2016,Ohio Street,Ohio
9/29/2016,Ohio Street,Ohio
9/30/2016,Ohio Street,Ohio
